"id","date","trial_total","unconverted_total","subscriber_total","subscriber_member","subscriber_pro","subscriber_lifetime","expired_total","converted_to_member","converted_to_pro","converted_to_lifetime","lost_conversion","resurrected","lost","expired_from_member","expired_from_pro","updated_at","created_at"
"185","2025-03-12 18:00:36","661","72075","3144","758","2296","90","1982","0","0","1","0","0","21","2","5","2025-03-12 18:00:37","2025-03-12 18:00:37"
"186","2025-03-13 18:00:53","657","72099","3138","758","2290","90","1991","0","0","0","0","0","24","0","6","2025-03-13 18:00:53","2025-03-13 18:00:53"
"187","2025-03-14 18:00:11","664","72119","3137","761","2286","90","1993","3","0","0","0","0","20","0","4","2025-03-14 18:00:11","2025-03-14 18:00:11"
"188","2025-03-15 18:00:58","657","72137","3138","763","2285","90","1992","2","0","0","0","1","18","0","1","2025-03-15 18:00:59","2025-03-15 18:00:59"
"189","2025-03-16 18:00:39","665","72149","3139","765","2283","91","1993","2","0","1","0","0","12","0","2","2025-03-16 18:00:40","2025-03-16 18:00:40"
"190","2025-03-17 18:00:45","664","72168","3136","765","2280","91","1997","0","0","0","0","0","19","0","3","2025-03-17 18:00:45","2025-03-17 18:00:45"
"191","2025-03-18 18:00:27","674","72181","3132","763","2278","91","2002","0","0","0","0","0","13","2","2","2025-03-18 18:00:27","2025-03-18 18:00:27"
"192","2025-03-19 18:00:30","679","72199","3134","767","2276","91","2002","4","0","0","0","0","18","0","2","2025-03-19 18:00:30","2025-03-19 18:00:30"
"193","2025-03-20 18:00:46","672","72220","3134","770","2273","91","2003","3","0","0","0","0","21","0","3","2025-03-20 18:00:46","2025-03-20 18:00:46"
"194","2025-03-21 18:00:52","675","72238","3133","771","2271","91","2005","1","0","0","0","0","18","0","2","2025-03-21 18:00:52","2025-03-21 18:00:52"
"195","2025-03-22 18:00:59","660","72267","3126","772","2263","91","2012","1","0","0","0","0","29","0","8","2025-03-22 18:00:59","2025-03-22 18:00:59"
"196","2025-03-23 18:00:09","653","72288","3132","778","2263","91","2009","6","0","0","0","3","21","0","0","2025-03-23 18:00:09","2025-03-23 18:00:09"
"197","2025-03-24 18:00:38","640","72317","3125","776","2258","91","2016","0","0","0","0","0","29","2","5","2025-03-24 18:00:38","2025-03-24 18:00:38"
"198","2025-03-25 18:00:50","637","72339","3129","782","2256","91","2016","6","0","0","0","0","22","0","2","2025-03-25 18:00:50","2025-03-25 18:00:50"
"199","2025-03-26 18:00:04","634","72362","3125","784","2250","91","2020","2","0","0","0","0","23","0","6","2025-03-26 18:00:04","2025-03-26 18:00:04"
"200","2025-03-27 18:00:10","627","72392","3128","786","2250","92","2018","2","0","1","0","2","30","0","0","2025-03-27 18:00:10","2025-03-27 18:00:10"
"201","2025-03-28 18:00:08","637","72404","3127","788","2246","93","2020","2","0","1","0","0","12","0","4","2025-03-28 18:00:08","2025-03-28 18:00:08"
"202","2025-03-29 18:00:12","643","72419","3128","793","2242","93","2022","5","0","0","0","0","15","0","4","2025-03-29 18:00:12","2025-03-29 18:00:12"
"203","2025-03-30 18:00:16","637","72441","3127","796","2238","93","2026","3","0","0","0","0","22","0","4","2025-03-30 18:00:16","2025-03-30 18:00:16"
"204","2025-03-31 18:00:46","648","72456","3129","798","2238","93","2026","2","0","0","0","0","15","0","0","2025-03-31 18:00:46","2025-03-31 18:00:46"
"205","2025-04-01 18:00:54","684","72468","3137","805","2238","94","2023","7","0","1","0","3","12","0","0","2025-04-01 18:00:54","2025-04-01 18:00:54"
"206","2025-04-02 18:00:45","708","72488","3144","811","2238","95","2018","6","0","1","0","5","20","0","0","2025-04-02 18:00:45","2025-04-02 18:00:45"
"207","2025-04-03 18:00:02","701","72529","3131","809","2227","95","2031","0","0","0","0","0","41","2","11","2025-04-03 18:00:03","2025-04-03 18:00:03"
"208","2025-04-04 18:00:04","698","72556","3124","808","2221","95","2042","0","0","0","0","0","27","1","6","2025-04-04 18:00:04","2025-04-04 18:00:04"
"209","2025-04-05 18:00:30","695","72582","3119","808","2216","95","2049","0","0","0","0","0","26","0","5","2025-04-05 18:00:31","2025-04-05 18:00:31"
"210","2025-04-06 18:00:47","697","72602","3113","809","2209","95","2058","1","0","0","0","0","20","0","7","2025-04-06 18:00:47","2025-04-06 18:00:47"
"211","2025-04-07 18:00:10","712","72619","3112","808","2208","96","2061","0","0","1","0","0","17","1","1","2025-04-07 18:00:11","2025-04-07 18:00:11"
"212","2025-04-08 18:00:38","718","72634","3105","808","2201","96","2070","0","0","0","0","0","15","0","7","2025-04-08 18:00:39","2025-04-08 18:00:39"
"213","2025-04-09 18:00:55","732","72655","3106","812","2198","96","2070","4","0","0","0","0","21","0","3","2025-04-09 18:00:56","2025-04-09 18:00:56"
"214","2025-04-10 18:00:51","731","72672","3105","811","2198","96","2071","0","0","0","0","0","17","1","0","2025-04-10 18:00:52","2025-04-10 18:00:52"
"215","2025-04-11 18:00:22","735","72693","3101","814","2191","96","2080","3","0","0","0","0","21","0","7","2025-04-11 18:00:22","2025-04-11 18:00:22"
"216","2025-04-12 18:00:29","733","72716","3099","814","2189","96","2082","0","0","0","0","0","23","0","2","2025-04-12 18:00:30","2025-04-12 18:00:30"
"217","2025-04-13 18:00:37","728","72743","3091","814","2181","96","2092","0","0","0","0","0","27","0","8","2025-04-13 18:00:38","2025-04-13 18:00:38"
"218","2025-04-14 18:00:14","744","72750","3090","815","2179","96","2096","1","0","0","0","0","7","0","2","2025-04-14 18:00:15","2025-04-14 18:00:15"
"219","2025-04-15 18:00:29","759","72770","3089","815","2177","97","2098","0","0","1","0","0","20","0","2","2025-04-15 18:00:30","2025-04-15 18:00:30"
"220","2025-04-16 18:00:48","775","72786","3084","814","2173","97","2105","0","0","0","0","0","16","1","4","2025-04-16 18:00:50","2025-04-16 18:00:50"
"221","2025-04-17 18:00:30","780","72804","3081","818","2166","97","2110","4","0","0","0","0","18","0","7","2025-04-17 18:00:31","2025-04-17 18:00:31"
"222","2025-04-18 18:00:44","784","72828","3081","820","2164","97","2113","2","0","0","0","0","24","0","2","2025-04-18 18:00:45","2025-04-18 18:00:45"
"223","2025-04-19 18:00:04","784","72843","3079","820","2162","97","2116","0","0","0","0","0","15","0","2","2025-04-19 18:00:04","2025-04-19 18:00:04"
"224","2025-04-20 18:00:22","786","72864","3075","819","2158","98","2122","0","0","1","0","0","21","1","4","2025-04-20 18:00:23","2025-04-20 18:00:23"
"225","2025-04-21 18:00:09","794","72878","3073","821","2153","99","2125","2","0","1","0","0","14","0","5","2025-04-21 18:00:09","2025-04-21 18:00:09"
